MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
17.5,29.9,0.0,6.6,8.8,E,43.0,E,ENE,13.0,11.0,74.0,45.0,1018.5,1015.9,8.0,1.0,19.3,27.9,No,0.0,No
12.6,18.2,11.0,3.2,0.4,ENE,30.0,SSE,SSE,13.0,15.0,81.0,73.0,1010.0,1011.0,7.0,8.0,16.3,16.8,Yes,0.2,No
5.3,21.0,0.0,4.6,6.3,WNW,26.0,SSW,NW,7.0,7.0,77.0,44.0,1027.2,1023.3,7.0,2.0,12.0,20.4,No,0.0,No
7.6,16.1,2.8,5.6,10.6,SSE,50.0,SSE,ESE,20.0,28.0,68.0,49.0,1018.3,1018.5,7.0,7.0,11.1,15.4,Yes,0.0,No
14.5,24.2,4.4,6.6,5.9,W,48.0,NNW,WNW,9.0,17.0,95.0,60.0,1010.8,1006.8,8.0,5.0,15.8,22.6,Yes,11.0,Yes
7.7,18.4,10.4,5.2,12.0,S,48.0,S,S,24.0,17.0,58.0,34.0,1015.5,1014.5,5.0,1.0,10.6,16.8,Yes,0.0,No
11.9,21.1,13.2,6.6,8.6,NW,41.0,NNE,N,7.0,24.0,82.0,61.0,1019.2,1016.7,7.0,3.0,14.5,19.4,Yes,0.6,No
14.5449949724835,20.75272544453945,7.310010055033001,9.004559165954094,4.372745554605459,NNW,32.736372777302726,NW,NNW,18.154609441119103,17.418236663816376,93.86818638865137,67.76808583832134,1014.7882064987172,1012.5936573877964,8.0,4.527254445394541,14.776808583832134,19.392269527944045,Yes,8.311914007643114,Yes
5.469422255355589,23.93492594059469,0.0,4.488444334558804,6.087731840481457,WNW,35.27191472166518,SSE,WNW,5.907992737320595,11.485070306143268,74.58588205266966,31.76952824806635,1018.6039573297757,1015.924350880923,6.852115985953551,3.04057685386786,11.871122605342665,23.78424681445775,No,0.3872948263540872,Yes
13.776614410579636,19.948401165409926,29.18738579109345,5.484188121913314,8.782257059613576,NNW,49.8693417749765,SW,SSW,22.37416943072584,23.364514119227152,68.03711586734204,53.45805647690861,1007.8512977588596,1007.4130658225024,2.0,7.0,15.883072052898177,18.58017545944857,Yes,29.409442913074155,Yes
4.6,15.7,0.0,1.0,0.6,NNE,15.0,SSE,NNE,6.0,6.0,85.0,67.0,1030.3,1027.1,7.0,7.0,9.9,15.5,No,0.8,No
9.303348937247728,15.680482533829128,5.052430681332655,2.9403673023660293,2.2396110896572385,NW,33.406193732689594,ENE,S,2.925459127957537,2.4061937326895952,91.8174288834378,84.56031689483314,1025.023622616127,1021.597659346364,7.629816348816986,7.259632697633971,11.169931580280084,13.61750089894743,Yes,7.018040026544101,Yes
17.74301954165469,35.441646765107386,0.3954234842024585,9.312819287288397,10.206289781843235,S,68.86215646526911,N,W,5.8588715551298005,12.238880116470824,69.89683831023476,29.312121061069625,1018.8226017787338,1013.898332906512,0.8207273502272199,6.002867416186076,22.47928639174938,33.21265956182202,No,0.0,Yes
10.454259302194556,26.39638889227852,0.0,6.693981487130863,7.302407405147655,SE,67.5300925643457,NE,NNW,6.493981487130863,40.40972230696294,61.927777845570354,55.39768528122467,1019.1216666463288,1015.1602314718776,5.4819444613925885,7.0,18.02893520495802,21.125277754050376,No,0.0,Yes
7.9,19.7,0.0,3.2,8.3,ESE,48.0,SSE,ENE,17.0,11.0,58.0,43.0,1027.3,1024.1,3.0,6.0,14.0,19.1,No,0.0,No
7.51847137207629,16.490272203637677,0.0646207484052486,1.25744066524911,8.619745228679381,NNE,30.161551871013124,SSE,NE,5.964099584219306,18.96409958421931,75.08975103945173,64.47944397117995,1031.0589460500837,1027.5499709461385,6.964099584219306,6.928199168438613,12.196931122607872,14.701042328371884,No,0.5028547898815499,Yes
13.064636999747488,26.73493594113191,2.9397437645276385,4.510042705912061,9.883404509853433,ESE,37.53276392117253,ESE,SSW,4.550213529560302,16.266381960586266,78.8995729408794,35.63319098029313,1013.0785966864576,1009.0052348825164,4.266381960586265,3.366809019706868,16.968126921425043,25.424893235219848,Yes,4.638562525421914,Yes
13.0,28.2,0.0,5.0,11.6,NW,44.0,WSW,NW,4.0,17.0,74.0,27.0,1017.6,1014.4,3.0,6.0,17.4,27.0,No,0.0,No
10.17089414137952,21.5386176767244,0.0,6.29675809342677,6.261275372467715,NW,61.128963257543305,NNE,NW,19.258283017779547,37.03206256303936,68.0,55.61275372467715,1008.2030636552269,1003.5901316792032,6.354827209590551,6.354827209590551,16.31606693178897,17.45158530301732,No,2.8756777870422567,Yes
15.1,24.3,0.0,7.0,0.4,SE,39.0,SE,SE,7.0,17.0,69.0,80.0,1019.0,1017.1,7.0,7.0,18.9,19.7,No,0.4,No
0.5,16.3,0.0,1.8,4.1,NNW,39.0,SSW,WSW,4.0,6.0,81.0,45.0,1023.7,1017.5,7.0,8.0,6.2,15.4,No,4.0,Yes
5.8,12.4,0.0,1.6,0.0,SE,26.0,SSE,ESE,13.0,13.0,79.0,73.0,1027.3,1023.5,8.0,8.0,8.7,10.8,No,0.0,No
15.33614831760853,22.33336698249413,0.5934459327043412,4.767229663521706,1.9240315800840824,NW,28.12015790042041,SSE,WNW,5.97815310901447,18.85799520859406,88.91261243605788,67.74876075366642,1018.754617227464,1015.4229392355348,7.9890765545072355,7.0109234454927645,16.980934444128867,21.03773636069124,No,2.340607719996956,Yes
14.880959992744485,20.071439989116723,20.825775941230315,2.4438080014511034,0.1780959992744483,SSE,41.21904000725552,E,NW,6.547600018138793,20.0,83.3142400435331,90.32856001088328,1014.4743039825868,1013.267647972429,8.0,8.0,16.934287997823343,16.332856001088327,Yes,20.066906210887296,Yes
-0.9,18.5,0.0,2.2,8.9,E,22.0,SE,N,0.0,7.0,84.0,38.0,1030.2,1027.4,2.0,3.0,4.7,18.2,No,0.0,No
1.4,20.6,0.0,5.4,11.1,N,46.0,SW,N,6.0,30.0,56.0,16.0,1020.8,1015.4,5.0,1.0,11.3,19.5,No,0.0,No
16.23699288906917,29.615610624474808,0.7781631681997883,6.133510941692268,9.289871465742284,E,48.64845205052003,SE,ESE,9.444489822383892,16.947398275952068,68.15732732342231,38.4580042737994,1016.859234715366,1012.8734351484444,6.044834001746299,6.9460521792598815,21.516355320690018,28.34451449866491,No,0.0,Yes
14.23453979463996,26.609630158971974,0.0046343508219497,7.166400956540864,7.0600287241606825,NNW,64.82621184417688,N,NNW,6.95944943030794,47.79724715153969,68.17958109435055,64.18537403287799,1017.3411298635448,1014.3393919819864,7.0,7.005792938527438,19.7217953298796,18.939753439314654,No,0.0,Yes
0.3,17.0,0.0,2.2,5.6,WNW,31.0,S,WNW,6.0,24.0,99.0,52.0,1021.9,1018.6,8.0,1.0,3.8,16.2,No,0.0,No
